974 146 1136
975 155 1197
976 166 1288
977 179 1415
978 194 1584
979 211 1801
980 145 1241
981 146 1242
982 149 1249
983 154 1268
984 161 1305
985 170 1366
986 181 1457
987 194 1584
988 209 1753
989 226 1970
990 162 1458
991 163 1459
992 166 1466
993 171 1485
994 178 1522
995 187 1583
996 198 1674
997 211 1801
998 226 1970
999 243 2187
1000 1 1
1001 2 2
1002 5 9
1003 10 28
1004 17 65
1005 26 126
1006 37 217
1007 50 344
1008 65 513
1009 82 730
1010 2 2
1011 3 3
1012 6 10
1013 11 29
1014 18 66
1015 27 127
1016 38 218
1017 51 345
1018 66 514
1019 83 731
1020 5 9
1021 6 10
1022 9 17
1023 14 36
1024 21 73
1025 30 134
1026 41 225
1027 54 352
1028 69 521
1029 86 738
1030 10 28
1031 11 29
1032 14 36
1033 19 55
1034 26 92
1035 35 153
1036 46 244
1037 59 371
1038 74 540
1039 91 757
1040 17 65
1041 18 66
1042 21 73
1043 26 92
1044 33 129
1045 42 190
1046 53 281
1047 66 408
1048 81 577
1049 98 794
1050 26 126
1051 27 127
1052 30 134
1053 35 153
1054 42 190
1055 51 251
1056 62 342
1057 75 469
1058 90 638
1059 107 855
1060 37 217
1061 38 218
1062 41 225
1063 46 244
1064 53 281
1065 62 342
1066 73 433
1067 86 560
1068 101 729
1069 118 946
1070 50 344
1071 51 345
1072 54 352
1073 59 371
1074 66 408
1075 75 469
1076 86 560
1077 99 687
1078 114 856
1079 131 1073
1080 65 513
1081 66 514
1082 69 521
1083 74 540
1084 81 577
1085 90 638
1086 101 729
1087 114 856
1088 129 1025
1089 146 1242
1090 82 730
1091 83 731
1092 86 738
1093 91 757
1094 98 794
1095 107 855
1096 118 946
1097 131 1073
1098 146 1242
1099 163 1459
1100 2 2
1101 3 3
1102 6 10
1103 11 29
1104 18 66
1105 27 127
1106 38 218
1107 51 345
1108 66 514
1109 83 731
1110 3 3
1111 4 4
1112 7 11
1113 12 30
1114 19 67
1115 28 128
1116 39 219
1117 52 346
1118 67 515
1119 84 732
1120 6 10
1121 7 11
1122 10 18
1123 15 37
1124 22 74
1125 31 135
1126 42 226
1127 55 353
1128 70 522
1129 87 739
1130 11 29
1131 12 30
1132 15 37
1133 20 56
1134 27 93
1135 36 154
1136 47 245
1137 60 372
1138 75 541
1139 92 758
1140 18 66
1141 19 67
1142 22 74
1143 27 93
1144 34 130
1145 43 191
1146 54 282
1147 67 409
1148 82 578
1149 99 795
1150 27 127
1151 28 128
1152 31 135
1153 36 154
1154 43 191
1155 52 252
1156 63 343
1157 76 470
1158 91 639
1159 108 856
1160 38 218
1161 39 219
1162 42 226
1163 47 245
1164 54 282
1165 63 343
1166 74 434
1167 87 561
1168 102 730
1169 119 947
1170 51 345
1171 52 346
1172 55 353
1173 60 372
1174 67 409
1175 76 470
1176 87 561
1177 100 688
1178 115 857
1179 132 1074
1180 66 514
1181 67 515
1182 70 522
1183 75 541
1184 82 578
1185 91 639
1186 102 730
1187 115 857
1188 130 1026
1189 147 1243
1190 83 731
1191 84 732
1192 87 739
1193 92 758
1194 99 795
1195 108 856
1196 119 947
1197 132 1074
1198 147 1243
1199 164 1460
1200 5 9
1201 6 10
1202 9 17
1203 14 36
1204 21 73
1205 30 134
1206 41 225
1207 54 352
1208 69 521
1209 86 738
1210 6 10
1211 7 11
1212 10 18
1213 15 37
1214 22 74
1215 31 135
1216 42 226
1217 55 353
1218 70 522
1219 87 739
1220 9 17
1221 10 18
1222 13 25
1223 18 44
1224 25 81
1225 34 142
1226 45 233
1227 58 360
1228 73 529
1229 90 746
1230 14 36
1231 15 37
1232 18 44
1233 23 63
1234 30 100
1235 39 161
1236 50 252
1237 63 379
1238 78 548
1239 95 765
1240 21 73
1241 22 74
1242 25 81
1243 30 100
1244 37 137
1245 46 198
1246 57 289
1247 70 416
1248 85 585
1249 102 802
1250 30 134
1251 31 135
1252 34 142
1253 39 161
1254 46 198
1255 55 259
1256 66 350
1257 79 477
1258 94 646
1259 111 863
1260 41 225
1261 42 226
1262 45 233
1263 50 252
1264 57 289
1265 66 350
1266 77 441
1267 90 568
1268 105 737
1269 122 954
1270 54 352
1271 55 353
1272 58 360
1273 63 379
1274 70 416
1275 79 477
1276 90 568
1277 103 695
1278 118 864
1279 135 1081
1280 69 521
1281 70 522
1282 73 529
1283 78 548
1284 85 585
1285 94 646
1286 105 737
1287 118 864
1288 133 1033
1289 150 1250
1290 86 738
1291 87 739
1292 90 746
1293 95 765
1294 102 802
1295 111 863
1296 122 954
1297 135 1081
1298 150 1250
1299 167 1467
1300 10 28
1301 11 29
1302 14 36
1303 19 55
1304 26 92
1305 35 153
1306 46 244
1307 59 371
1308 74 540
1309 91 757
1310 11 29
1311 12 30
1312 15 37
1313 20 56
1314 27 93
1315 36 154
1316 47 245
1317 60 372
1318 75 541
1319 92 758
1320 14 36
1321 15 37
1322 18 44
1323 23 63
1324 30 100
1325 39 161
1326 50 252
1327 63 379
1328 78 548
1329 95 765
1330 19 55
1331 20 56
1332 23 63
1333 28 82
1334 35 119
1335 44 180
1336 55 271
1337 68 398
1338 83 567
1339 100 784
1340 26 92
1341 27 93
1342 30 100
1343 35 119
1344 42 156
1345 51 217
1346 62 308
1347 75 435
1348 90 604
1349 107 821
1350 35 153
1351 36 154
1352 39 161
1353 44 180
1354 51 217
1355 60 278
1356 71 369
1357 84 496
1358 99 665
1359 116 882
1360 46 244
1361 47 245
1362 50 252
1363 55 271
1364 62 308
1365 71 369
1366 82 460
1367 95 587
1368 110 756
1369 127 973
1370 59 371
1371 60 372
1372 63 379
1373 68 398
1374 75 435
1375 84 496
1376 95 587
1377 108 714
1378 123 883
1379 140 1100
1380 74 540
1381 75 541
1382 78 548
1383 83 567
1384 90 604
1385 99 665
1386 110 756
1387 123 883
1388 138 1052
1389 155 1269
1390 91 757
1391 92 758
1392 95 765
1393 100 784
1394 107 821
1395 116 882
1396 127 973
1397 140 1100
1398 155 1269
1399 172 1486
1400 17 65
1401 18 66
1402 21 73
1403 26 92
1404 33 129
1405 42 190
1406 53 281
1407 66 408
1408 81 577
1409 98 794
1410 18 66
1411 19 67
1412 22 74
1413 27 93
1414 34 130
1415 43 191
1416 54 282
1417 67 409
1418 82 578
1419 99 795
1420 21 73
1421 22 74
1422 25 81
1423 30 100
1424 37 137
1425 46 198
1426 57 289
1427 70 416
1428 85 585
1429 102 802
1430 26 92
1431 27 93
1432 30 100
1433 35 119
1434 42 156
